tc_no,tags,subModule,scenarioName,description,field1,field2
1,MISP Creation,MISP,MISP_S1,MISP Creation,mi_createMisp(),
2,MISP Updation,MISP,MISP_S2,MISP Updation,mi_updateMisp(),
3,MISP Creation,MISP,MISP_S3,MISP Creation,mi_createMisp(),
4,MISP Status Updation,MISP,MISP_S4,MISP Status Updation,mi_updateMispStatus(),
5,Get Specific Misp Details,MISP,MISP_S5,Get Specific Misp Details,mi_getMisp(),
6,Get all MISPs,MISP,MISP_S6,Get all MISPs,mi_getMisps(),
7,Validate MISP L Status,MISP,MISP_S7,Validate MISP L Status,mi_updateMisplStatus(),
8,MISP Status Updation,MISP,MISP_S10,MISP Status Updation,mi_updateMispStatus(),
9,Update Misp request ,MISP,MISP_S8,Approve MISP,mi_updateMispRequestStatus(),
10,Update Misp request ,MISP,MISP_S9,Approve MISP,mi_updateMispRequestStatus(),
11,Create Policy,POLICY,POLICY_S1,Create Policy,pol_createPolicy(),pol_createAuthPolicies()
12,Create Policy,POLICY,POLICY_S2,Create Policy,pol_createPolicy(),pol_createAuthPolicies()
13,PARTNER Creation,PARTNER,PARTNER_S1,PARTNER Creation,pa_createPartner(),
14,PARTNER Creation,PARTNER,PARTNER_S2,PARTNER Creation,pa_getPartner(),
15,PARTNER Creation,PARTNER,PARTNER_S3,PARTNER Creation,pa_updatePartner(),
16,PARTNER Creation,PARTNER,PARTNER_S4,PARTNER Creation,pa_submitPartnerRequest(),
17,PARTNER Creation,PARTNER,PARTNER_S5,PARTNER Creation,pa_GetAllApiKeyRequestsSubmittedByPartner(),
18,PARTNER Creation,PARTNER,PARTNER_S7,PARTNER Creation,pm_ApproveRejectPartnerAPIKeyRequestsAndGeneratePartnerAPIKey(),
19,PARTNER Creation,PARTNER,PARTNER_S6,PARTNER Creation,pa_ViewApiKeyRequestStatusAndApiKey(),
20,PARTNER Creation,PARTNER,PARTNER_S8,PARTNER Creation,pm_PartnerApiKeyToPolicyMappings(),
21,PARTNER Creation,PARTNER,PARTNER_S9,PARTNER Creation,pm_ActivateDeactivateAuthEKYCPartners(),
22,PARTNER Creation,PARTNER,PARTNER_S10,PARTNER Creation,pm_ActivateDeactivatePartnerAPIKeyGivenPartner(),
23,PARTNER Creation,PARTNER,PARTNER_S11,PARTNER Creation,pm_GetAllAuthEKYCPartnersForThePolicyGroup(),
24,PARTNER Creation,PARTNER,PARTNER_S12,PARTNER Creation,pm_GetparticularAuthEKYCPartnerDetailsForGivenPartnerId(),
25,PARTNER Creation,PARTNER,PARTNER_S13,PARTNER Creation,pm_GetAllPartnerAPIKeyRequestsByPartnerManager(),
26,PARTNER Creation,PARTNER,PARTNER_S14,PARTNER Creation,pm_GetTheRequestForPartnerAPIKeyToPolicyMapping(),
